"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","fbclid","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response",0,2529,"0.0-0.0",17,1,"2023-05-15 19:57:01","1ecd9d38d4622338824de6fd67a72f4c","46.114.209.12","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,3; iOS 16_3_1; en_DE; en-GB; scale=3.00; 1125x2436; 472241688)","iPhone","Mozilla",NA,"iOS","16_3_1","PAAaaGafXN1SS_HHwkAMcD1V_57sFEkNnDOSJA69xJF_pquCV6ChPPqpXLmAY",NA,"","","","","",""
"survey-text",1,7806,"0.0-1.0",17,1,"2023-05-15 19:57:01","1ecd9d38d4622338824de6fd67a72f4c","46.114.209.12","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,3; iOS 16_3_1; en_DE; en-GB; scale=3.00; 1125x2436; 472241688)","iPhone","Mozilla",NA,"iOS","16_3_1","PAAaaGafXN1SS_HHwkAMcD1V_57sFEkNnDOSJA69xJF_pquCV6ChPPqpXLmAY",25,"5261","{""age"":""25""}","","","",""
"survey-multi-select",2,21744,"0.0-2.0",17,1,"2023-05-15 19:57:01","1ecd9d38d4622338824de6fd67a72f4c","46.114.209.12","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,3; iOS 16_3_1; en_DE; en-GB; scale=3.00; 1125x2436; 472241688)","iPhone","Mozilla",NA,"iOS","16_3_1","PAAaaGafXN1SS_HHwkAMcD1V_57sFEkNnDOSJA69xJF_pquCV6ChPPqpXLmAY",NA,"13931","{""Gender"":[""Frau""],""Education"":[""Hochschulabschluss/berufliches Äquivalent""]}","[0,1]","","",""
"html-keyboard-response",3,29875,"0.0-3.0",17,1,"2023-05-15 19:57:01","1ecd9d38d4622338824de6fd67a72f4c","46.114.209.12","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,3; iOS 16_3_1; en_DE; en-GB; scale=3.00; 1125x2436; 472241688)","iPhone","Mozilla",NA,"iOS","16_3_1","PAAaaGafXN1SS_HHwkAMcD1V_57sFEkNnDOSJA69xJF_pquCV6ChPPqpXLmAY",NA,"","","","","",""
"html-keyboard-response",4,30883,"0.0-4.0-0.0",17,1,"2023-05-15 19:57:01","1ecd9d38d4622338824de6fd67a72f4c","46.114.209.12","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,3; iOS 16_3_1; en_DE; en-GB; scale=3.00; 1125x2436; 472241688)","iPhone","Mozilla",NA,"iOS","16_3_1","PAAaaGafXN1SS_HHwkAMcD1V_57sFEkNnDOSJA69xJF_pquCV6ChPPqpXLmAY",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",5,38963,"0.0-4.0-1.0",17,1,"2023-05-15 19:57:01","1ecd9d38d4622338824de6fd67a72f4c","46.114.209.12","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,3; iOS 16_3_1; en_DE; en-GB; scale=3.00; 1125x2436; 472241688)","iPhone","Mozilla",NA,"iOS","16_3_1","PAAaaGafXN1SS_HHwkAMcD1V_57sFEkNnDOSJA69xJF_pquCV6ChPPqpXLmAY",NA,"null","null","","DE_Shortterm_Toothbrush.png","",""
"survey-likert",6,59894,"0.0-4.0-2.0",17,1,"2023-05-15 19:57:01","1ecd9d38d4622338824de6fd67a72f4c","46.114.209.12","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,3; iOS 16_3_1; en_DE; en-GB; scale=3.00; 1125x2436; 472241688)","iPhone","Mozilla",NA,"iOS","16_3_1","PAAaaGafXN1SS_HHwkAMcD1V_57sFEkNnDOSJA69xJF_pquCV6ChPPqpXLmAY",NA,"20921","{""Q0"":4,""Q1"":3,""Q2"":7,""Q3"":1}","[0,1,2,3]","","",""
"html-keyboard-response",7,60901,"0.0-4.0-0.1",17,1,"2023-05-15 19:57:01","1ecd9d38d4622338824de6fd67a72f4c","46.114.209.12","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,3; iOS 16_3_1; en_DE; en-GB; scale=3.00; 1125x2436; 472241688)","iPhone","Mozilla",NA,"iOS","16_3_1","PAAaaGafXN1SS_HHwkAMcD1V_57sFEkNnDOSJA69xJF_pquCV6ChPPqpXLmAY",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",8,68968,"0.0-4.0-1.1",17,1,"2023-05-15 19:57:01","1ecd9d38d4622338824de6fd67a72f4c","46.114.209.12","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,3; iOS 16_3_1; en_DE; en-GB; scale=3.00; 1125x2436; 472241688)","iPhone","Mozilla",NA,"iOS","16_3_1","PAAaaGafXN1SS_HHwkAMcD1V_57sFEkNnDOSJA69xJF_pquCV6ChPPqpXLmAY",NA,"null","null","","DE_LongTerm_Toothbrush.png","",""
"survey-likert",9,92686,"0.0-4.0-2.1",17,1,"2023-05-15 19:57:01","1ecd9d38d4622338824de6fd67a72f4c","46.114.209.12","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,3; iOS 16_3_1; en_DE; en-GB; scale=3.00; 1125x2436; 472241688)","iPhone","Mozilla",NA,"iOS","16_3_1","PAAaaGafXN1SS_HHwkAMcD1V_57sFEkNnDOSJA69xJF_pquCV6ChPPqpXLmAY",NA,"23710","{""Q0"":6,""Q1"":5,""Q2"":2,""Q3"":4}","[0,1,2,3]","","",""
