"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response",0,1275,"0.0-0.0",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"","","","","",""
"survey-text",1,4540,"0.0-1.0",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",26,"3225","{""age"":""26""}","","","",""
"survey-multi-select",2,13775,"0.0-2.0",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"9227","{""Gender"":[""Frau""],""Education"":["" Postgraduierter Abschluss""]}","[0,1]","","",""
"html-keyboard-response",3,18128,"0.0-3.0",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"","","","","",""
"html-keyboard-response",4,19136,"0.0-4.0-0.0",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",5,29221,"0.0-4.0-1.0",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"null","null","","DE_Shortterm_Headphones.png","",""
"survey-likert",6,39749,"0.0-4.0-2.0",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"10514","{""Q0"":8,""Q1"":8,""Q2"":0,""Q3"":6}","[0,1,2,3]","","",""
"html-keyboard-response",7,40752,"0.0-4.0-0.1",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",8,50820,"0.0-4.0-1.1",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"null","null","","Control_Watch.png","",""
"survey-likert",9,64358,"0.0-4.0-2.1",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"13526","{""Q0"":6,""Q1"":5,""Q2"":0,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response",10,65363,"0.0-4.0-0.2",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",11,75446,"0.0-4.0-1.2",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"null","null","","DE_Longterm_Headphones.png","",""
"survey-likert",12,86230,"0.0-4.0-2.2",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"10778","{""Q0"":6,""Q1"":6,""Q2"":0,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response",13,87233,"0.0-4.0-0.3",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",14,97295,"0.0-4.0-1.3",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"null","null","","DE_Shortterm_watch.png","",""
"survey-likert",15,105857,"0.0-4.0-2.3",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"8551","{""Q0"":8,""Q1"":8,""Q2"":0,""Q3"":8}","[0,1,2,3]","","",""
"html-keyboard-response",16,106871,"0.0-4.0-0.4",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",17,116944,"0.0-4.0-1.4",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"null","null","","DE_Shortterm_Toothbrush.png","",""
"survey-likert",18,130153,"0.0-4.0-2.4",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"13199","{""Q0"":5,""Q1"":4,""Q2"":0,""Q3"":3}","[0,1,2,3]","","",""
"html-keyboard-response",19,131156,"0.0-4.0-0.5",5,1,"2023-05-15 15:18:00","438acae18c258eb4b86bc80e7c9990c9","90.164.252.122","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari",16.3,"iOS","16_3_1",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
