"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response",0,4211,"0.0-0.0",20,1,"2023-05-29 19:04:34","4d0c160ebb1ce460ebd4771f52f78daa","31.124.112.177","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525","5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525",NA,"","","","","",""
"survey-text",1,7707,"0.0-1.0",20,1,"2023-05-29 19:04:34","4d0c160ebb1ce460ebd4771f52f78daa","31.124.112.177","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525","5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525",65,"3492","{""age"":""65""}","","","",""
"survey-multi-select",2,17852,"0.0-2.0",20,1,"2023-05-29 19:04:34","4d0c160ebb1ce460ebd4771f52f78daa","31.124.112.177","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525","5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525",NA,"10144","{""Gender"":[""Frau""],""Education"":[""Hochschulabschluss/berufliches Äquivalent""]}","[0,1]","","",""
"html-keyboard-response",3,24044,"0.0-3.0",20,1,"2023-05-29 19:04:34","4d0c160ebb1ce460ebd4771f52f78daa","31.124.112.177","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525","5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525",NA,"","","","","",""
"html-keyboard-response",4,25045,"0.0-4.0-0.0",20,1,"2023-05-29 19:04:34","4d0c160ebb1ce460ebd4771f52f78daa","31.124.112.177","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525","5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",5,33048,"0.0-4.0-1.0",20,1,"2023-05-29 19:04:34","4d0c160ebb1ce460ebd4771f52f78daa","31.124.112.177","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525","5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525",NA,"null","null","","DE_Shortterm_watch.png","",""
"survey-likert",6,51231,"0.0-4.0-2.0",20,1,"2023-05-29 19:04:34","4d0c160ebb1ce460ebd4771f52f78daa","31.124.112.177","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525","5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525",NA,"18182","{""Q0"":6,""Q1"":6,""Q2"":3,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response",7,52234,"0.0-4.0-0.1",20,1,"2023-05-29 19:04:34","4d0c160ebb1ce460ebd4771f52f78daa","31.124.112.177","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525","5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",8,60235,"0.0-4.0-1.1",20,1,"2023-05-29 19:04:34","4d0c160ebb1ce460ebd4771f52f78daa","31.124.112.177","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525","5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525",NA,"null","null","","DE_Shortterm_Toothbrush.png","",""
"survey-likert",9,70793,"0.0-4.0-2.1",20,1,"2023-05-29 19:04:34","4d0c160ebb1ce460ebd4771f52f78daa","31.124.112.177","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","WebKit","Chrome","113.0.0.0","Windows",10,"5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525","5ea14bf64f71e2000acbc618","6474f006c1040bbd864873ba","6474f73ab6d39797c41ac525",NA,"10558","{""Q0"":2,""Q1"":2,""Q2"":7,""Q3"":2}","[0,1,2,3]","","",""
