"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response",0,2648,"0.0-0.0",40,1,"2023-05-29 19:15:07","4d0c160ebb1ce460ebd4771f52f78daa","93.231.20.94","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9",NA,"","","","","",""
"survey-text",1,5673,"0.0-1.0",40,1,"2023-05-29 19:15:07","4d0c160ebb1ce460ebd4771f52f78daa","93.231.20.94","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9",28,"2988","{""age"":""28""}","","","",""
"survey-multi-select",2,11369,"0.0-2.0",40,1,"2023-05-29 19:15:07","4d0c160ebb1ce460ebd4771f52f78daa","93.231.20.94","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9",NA,"5690","{""Gender"":[""Frau""],""Education"":["" Postgraduierter Abschluss""]}","[0,1]","","",""
"html-keyboard-response",3,15230,"0.0-3.0",40,1,"2023-05-29 19:15:07","4d0c160ebb1ce460ebd4771f52f78daa","93.231.20.94","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9",NA,"","","","","",""
"html-keyboard-response",4,16242,"0.0-4.0-0.0",40,1,"2023-05-29 19:15:07","4d0c160ebb1ce460ebd4771f52f78daa","93.231.20.94","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",5,24293,"0.0-4.0-1.0",40,1,"2023-05-29 19:15:07","4d0c160ebb1ce460ebd4771f52f78daa","93.231.20.94","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9",NA,"null","null","","DE_Shortterm_watch.png","",""
"survey-likert",6,34155,"0.0-4.0-2.0",40,1,"2023-05-29 19:15:07","4d0c160ebb1ce460ebd4771f52f78daa","93.231.20.94","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9",NA,"9856","{""Q0"":4,""Q1"":4,""Q2"":2,""Q3"":3}","[0,1,2,3]","","",""
"html-keyboard-response",7,35158,"0.0-4.0-0.1",40,1,"2023-05-29 19:15:07","4d0c160ebb1ce460ebd4771f52f78daa","93.231.20.94","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",8,43223,"0.0-4.0-1.1",40,1,"2023-05-29 19:15:07","4d0c160ebb1ce460ebd4771f52f78daa","93.231.20.94","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9",NA,"null","null","","DE_Longterm_Headphones.png","",""
"survey-likert",9,51821,"0.0-4.0-2.1",40,1,"2023-05-29 19:15:07","4d0c160ebb1ce460ebd4771f52f78daa","93.231.20.94","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari",16.4,"iOS","16_4_1","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9","6408f08959532e9125c65b4f","6474f006c1040bbd864873ba","6474f9b4ef3846700963a4f9",NA,"8593","{""Q0"":5,""Q1"":4,""Q2"":1,""Q3"":3}","[0,1,2,3]","","",""
