"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response",0,4838,"0.0-0.0",91,1,"2023-05-29 17:25:05","4d0c160ebb1ce460ebd4771f52f78daa","82.155.128.225","Mozilla/5.0 (Linux; Android 11; SM-A202F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Mobile Safari/537.36","WebKit","Chrome","92.0.4515.166","AndroidOS",11,"5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78","5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78",NA,"","","","","",""
"survey-text",1,8235,"0.0-1.0",91,1,"2023-05-29 17:25:05","4d0c160ebb1ce460ebd4771f52f78daa","82.155.128.225","Mozilla/5.0 (Linux; Android 11; SM-A202F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Mobile Safari/537.36","WebKit","Chrome","92.0.4515.166","AndroidOS",11,"5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78","5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78",53,"3374","{""age"":""53""}","","","",""
"survey-multi-select",2,26371,"0.0-2.0",91,1,"2023-05-29 17:25:05","4d0c160ebb1ce460ebd4771f52f78daa","82.155.128.225","Mozilla/5.0 (Linux; Android 11; SM-A202F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Mobile Safari/537.36","WebKit","Chrome","92.0.4515.166","AndroidOS",11,"5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78","5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78",NA,"18109","{""Gender"":[""Frau""],""Education"":[""Hochschulabschluss/berufliches Äquivalent""]}","[0,1]","","",""
"html-keyboard-response",3,32148,"0.0-3.0",91,1,"2023-05-29 17:25:05","4d0c160ebb1ce460ebd4771f52f78daa","82.155.128.225","Mozilla/5.0 (Linux; Android 11; SM-A202F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Mobile Safari/537.36","WebKit","Chrome","92.0.4515.166","AndroidOS",11,"5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78","5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78",NA,"","","","","",""
"html-keyboard-response",4,33159,"0.0-4.0-0.0",91,1,"2023-05-29 17:25:05","4d0c160ebb1ce460ebd4771f52f78daa","82.155.128.225","Mozilla/5.0 (Linux; Android 11; SM-A202F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Mobile Safari/537.36","WebKit","Chrome","92.0.4515.166","AndroidOS",11,"5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78","5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",5,41236,"0.0-4.0-1.0",91,1,"2023-05-29 17:25:05","4d0c160ebb1ce460ebd4771f52f78daa","82.155.128.225","Mozilla/5.0 (Linux; Android 11; SM-A202F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Mobile Safari/537.36","WebKit","Chrome","92.0.4515.166","AndroidOS",11,"5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78","5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78",NA,"null","null","","DE_Shortterm_watch.png","",""
"survey-likert",6,58329,"0.0-4.0-2.0",91,1,"2023-05-29 17:25:05","4d0c160ebb1ce460ebd4771f52f78daa","82.155.128.225","Mozilla/5.0 (Linux; Android 11; SM-A202F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Mobile Safari/537.36","WebKit","Chrome","92.0.4515.166","AndroidOS",11,"5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78","5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78",NA,"17077","{""Q0"":5,""Q1"":6,""Q2"":0,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response",7,59351,"0.0-4.0-0.1",91,1,"2023-05-29 17:25:05","4d0c160ebb1ce460ebd4771f52f78daa","82.155.128.225","Mozilla/5.0 (Linux; Android 11; SM-A202F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Mobile Safari/537.36","WebKit","Chrome","92.0.4515.166","AndroidOS",11,"5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78","5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",8,67374,"0.0-4.0-1.1",91,1,"2023-05-29 17:25:05","4d0c160ebb1ce460ebd4771f52f78daa","82.155.128.225","Mozilla/5.0 (Linux; Android 11; SM-A202F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Mobile Safari/537.36","WebKit","Chrome","92.0.4515.166","AndroidOS",11,"5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78","5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78",NA,"null","null","","Control_Headphones.png","",""
"survey-likert",9,82108,"0.0-4.0-2.1",91,1,"2023-05-29 17:25:05","4d0c160ebb1ce460ebd4771f52f78daa","82.155.128.225","Mozilla/5.0 (Linux; Android 11; SM-A202F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.166 Mobile Safari/537.36","WebKit","Chrome","92.0.4515.166","AndroidOS",11,"5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78","5db02843bc5196001a762ec2","6474b527d384e573fd99a35a","6474dfe407f195a620987d78",NA,"14695","{""Q0"":4,""Q1"":4,""Q2"":2,""Q3"":2}","[0,1,2,3]","","",""
