"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response",0,3018,"0.0-0.0",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"","","","","",""
"survey-text",1,5842,"0.0-1.0",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",26,"2812","{""age"":""26""}","","","",""
"survey-multi-select",2,24209,"0.0-2.0",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"18362","{""Gender"":[""Mann""],""Education"":["" Sekundarstufe (Alter: 11-17 Jahre)""]}","[0,1]","","",""
"html-keyboard-response",3,31198,"0.0-3.0",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"","","","","",""
"html-keyboard-response",4,32203,"0.0-4.0-0.0",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",5,40232,"0.0-4.0-1.0",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"null","null","","DE_LongTerm_Toothbrush.png","",""
"survey-likert",6,51825,"0.0-4.0-2.0",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"11589","{""Q0"":5,""Q1"":4,""Q2"":2,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response",7,52834,"0.0-4.0-0.1",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",8,60848,"0.0-4.0-1.1",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"null","null","","DE_Shortterm_watch.png","",""
"survey-likert",9,72819,"0.0-4.0-2.1",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"11968","{""Q0"":2,""Q1"":0,""Q2"":6,""Q3"":1}","[0,1,2,3]","","",""
"html-keyboard-response",10,73829,"0.0-4.0-0.2",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",11,81839,"0.0-4.0-1.2",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"null","null","","Control_Watch.png","",""
"survey-likert",12,91416,"0.0-4.0-2.2",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"9575","{""Q0"":5,""Q1"":4,""Q2"":0,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response",13,92424,"0.0-4.0-0.3",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",14,100441,"0.0-4.0-1.3",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"null","null","","DE_Longterm_Headphones.png","",""
"survey-likert",15,109295,"0.0-4.0-2.3",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"8851","{""Q0"":6,""Q1"":5,""Q2"":0,""Q3"":6}","[0,1,2,3]","","",""
"html-keyboard-response",16,110303,"0.0-4.0-0.4",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",17,118315,"0.0-4.0-1.4",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"null","null","","DE_Shortterm_Headphones.png","",""
"survey-likert",18,129830,"0.0-4.0-2.4",93,1,"2023-05-29 17:30:49","4d0c160ebb1ce460ebd4771f52f78daa","217.251.252.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532","62fb87659f0ed61069865eb3","6474b527d384e573fd99a35a","6474e144bcaba2dc141ac532",NA,"11511","{""Q0"":5,""Q1"":4,""Q2"":2,""Q3"":4}","[0,1,2,3]","","",""
