"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject_id","study_id","session_id","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response",0,1327,"0.0-0.0",3,1,"2023-05-29 18:47:41","4d0c160ebb1ce460ebd4771f52f78daa","2.202.119.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859",NA,"","","","","",""
"survey-text",1,3433,"0.0-1.0",3,1,"2023-05-29 18:47:41","4d0c160ebb1ce460ebd4771f52f78daa","2.202.119.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859",33,"2099","{""age"":""33""}","","","",""
"survey-multi-select",2,18746,"0.0-2.0",3,1,"2023-05-29 18:47:41","4d0c160ebb1ce460ebd4771f52f78daa","2.202.119.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859",NA,"15310","{""Gender"":[""Mann""],""Education"":[""Hochschulabschluss/berufliches Äquivalent""]}","[0,1]","","",""
"html-keyboard-response",3,20862,"0.0-3.0",3,1,"2023-05-29 18:47:41","4d0c160ebb1ce460ebd4771f52f78daa","2.202.119.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859",NA,"","","","","",""
"html-keyboard-response",4,21867,"0.0-4.0-0.0",3,1,"2023-05-29 18:47:41","4d0c160ebb1ce460ebd4771f52f78daa","2.202.119.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",5,29897,"0.0-4.0-1.0",3,1,"2023-05-29 18:47:41","4d0c160ebb1ce460ebd4771f52f78daa","2.202.119.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859",NA,"null","null","","Control_Headphones.png","",""
"survey-likert",6,40955,"0.0-4.0-2.0",3,1,"2023-05-29 18:47:41","4d0c160ebb1ce460ebd4771f52f78daa","2.202.119.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859",NA,"11056","{""Q0"":7,""Q1"":5,""Q2"":0,""Q3"":6}","[0,1,2,3]","","",""
"html-keyboard-response",7,41964,"0.0-4.0-0.1",3,1,"2023-05-29 18:47:41","4d0c160ebb1ce460ebd4771f52f78daa","2.202.119.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",8,49976,"0.0-4.0-1.1",3,1,"2023-05-29 18:47:41","4d0c160ebb1ce460ebd4771f52f78daa","2.202.119.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859",NA,"null","null","","Control_Watch.png","",""
"survey-likert",9,59036,"0.0-4.0-2.1",3,1,"2023-05-29 18:47:41","4d0c160ebb1ce460ebd4771f52f78daa","2.202.119.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859",NA,"9058","{""Q0"":4,""Q1"":3,""Q2"":1,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response",10,60047,"0.0-4.0-0.2",3,1,"2023-05-29 18:47:41","4d0c160ebb1ce460ebd4771f52f78daa","2.202.119.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",11,68053,"0.0-4.0-1.2",3,1,"2023-05-29 18:47:41","4d0c160ebb1ce460ebd4771f52f78daa","2.202.119.220","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36","Macintosh","Chrome","113.0.0.0","OS X","10_15_7","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859","5e986435a93c9104ab935f20","6474f006c1040bbd864873ba","6474f34cd5e7d6c32ea9c859",NA,"null","null","","DE_Shortterm_watch.png","",""
