"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","fbclid","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response",0,3740,"0.0-0.0",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"","","","","",""
"survey-text",1,7224,"0.0-1.0",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",30,"3480","{""age"":""30""}","","","",""
"survey-multi-select",2,23007,"0.0-2.0",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"15778","{""Gender"":[""Mann""],""Education"":[""Hochschulabschluss/berufliches Äquivalent""]}","[0,1]","","",""
"html-keyboard-response",3,27175,"0.0-3.0",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"","","","","",""
"html-keyboard-response",4,28180,"0.0-4.0-0.0",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",5,38245,"0.0-4.0-1.0",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"null","null","","DE_Longterm_Headphones.png","",""
"survey-likert",6,57812,"0.0-4.0-2.0",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"19563","{""Q0"":2,""Q1"":2,""Q2"":4,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response",7,58817,"0.0-4.0-0.1",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",8,68874,"0.0-4.0-1.1",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"null","null","","DE_LongTerm_Toothbrush.png","",""
"survey-likert",9,79048,"0.0-4.0-2.1",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"10169","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response",10,80051,"0.0-4.0-0.2",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",11,90090,"0.0-4.0-1.2",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"null","null","","DE_Longterm_Watch.png","",""
"survey-likert",12,101282,"0.0-4.0-2.2",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"11187","{""Q0"":7,""Q1"":7,""Q2"":6,""Q3"":1}","[0,1,2,3]","","",""
"html-keyboard-response",13,102286,"0.0-4.0-0.3",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",14,112344,"0.0-4.0-1.3",7,1,"2023-05-15 16:09:33","438acae18c258eb4b86bc80e7c9990c9","80.187.83.138","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,2; iOS 16_4_1; de_DE; de-DE; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla",NA,"iOS","16_4_1","PAAaYcLCEI2bnPmRxqjV7nUmblHXy2qe-UNiEZhWDuoyWZiSKiH82jskPjUqw",NA,"null","null","","Control_Toothbrush.png","",""
