"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response",0,1242,"0.0-0.0",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"","","","","",""
"survey-text",1,5125,"0.0-1.0",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",27,"3829","{""age"":""27""}","","","",""
"survey-multi-select",2,35155,"0.0-2.0",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"29992","{""Gender"":[""Frau""],""Education"":["" Postgraduierter Abschluss""]}","[0,1]","","",""
"html-keyboard-response",3,41179,"0.0-3.0",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"","","","","",""
"html-keyboard-response",4,42186,"0.0-4.0-0.0",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",5,50259,"0.0-4.0-1.0",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"null","null","","Control_Toothbrush.png","",""
"survey-likert",6,74803,"0.0-4.0-2.0",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"24537","{""Q0"":4,""Q1"":4,""Q2"":5,""Q3"":6}","[0,1,2,3]","","",""
"html-keyboard-response",7,75807,"0.0-4.0-0.1",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",8,83867,"0.0-4.0-1.1",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"null","null","","DE_Shortterm_Toothbrush.png","",""
"survey-likert",9,102928,"0.0-4.0-2.1",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"19055","{""Q0"":2,""Q1"":3,""Q2"":5,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response",10,103933,"0.0-4.0-0.2",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",11,111974,"0.0-4.0-1.2",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"null","null","","DE_Shortterm_watch.png","",""
"survey-likert",12,128706,"0.0-4.0-2.2",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"16725","{""Q0"":2,""Q1"":2,""Q2"":4,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response",13,129709,"0.0-4.0-0.3",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",14,137765,"0.0-4.0-1.3",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"null","null","","DE_Shortterm_Headphones.png","",""
"survey-likert",15,149347,"0.0-4.0-2.3",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"11579","{""Q0"":5,""Q1"":5,""Q2"":3,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response",16,150350,"0.0-4.0-0.4",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",17,158408,"0.0-4.0-1.4",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"null","null","","DE_LongTerm_Toothbrush.png","",""
"survey-likert",18,171485,"0.0-4.0-2.4",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"13072","{""Q0"":5,""Q1"":5,""Q2"":2,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response",19,172491,"0.0-4.0-0.5",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response",20,180545,"0.0-4.0-1.5",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"null","null","","Control_Headphones.png","",""
"survey-likert",21,186815,"0.0-4.0-2.5",36,1,"2023-05-16 23:54:00","1ecd9d38d4622338824de6fd67a72f4c","80.187.120.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15","Macintosh","Safari",16.4,"OS X","10_15_7",NA,"6264","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4}","[0,1,2,3]","","",""
