"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","fbclid","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","17359","0.0-0.0","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","","","","","",""
"survey-text","1","25636","0.0-1.0","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","8269","{""age"":""25""}","","","",""
"survey-multi-select","2","39782","0.0-2.0","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","14137","{""Gender"":[""Homen""],""Education"":[""Graduação universitária/ equivalente profissional""]}","[0,1]","","",""
"html-keyboard-response","3","52259","0.0-3.0","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","","","","","",""
"html-keyboard-response","4","53264","0.0-4.0-0.0","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","61318","0.0-4.0-1.0","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","null","null","","PT_Shortterm_Watch.png","",""
"survey-likert","6","148448","0.0-4.0-2.0","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","87121","{""Q0"":8,""Q1"":4,""Q2"":1,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response","7","149454","0.0-4.0-0.1","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","157523","0.0-4.0-1.1","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","null","null","","Control_Headphones.png","",""
"survey-likert","9","185836","0.0-4.0-2.1","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","28307","{""Q0"":6,""Q1"":6,""Q2"":1,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response","10","186839","0.0-4.0-0.2","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","11","194906","0.0-4.0-1.2","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","null","null","","Control_Toothbrush.png","",""
"survey-likert","12","216965","0.0-4.0-2.2","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","22053","{""Q0"":2,""Q1"":2,""Q2"":6,""Q3"":6}","[0,1,2,3]","","",""
"html-keyboard-response","13","217969","0.0-4.0-0.3","19","1","2023-05-15 18:09:53","71cfef5bfd41dc7064b9a1fcb7b54361","109.250.32.3","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone13,3; iOS 16_0_2; pt_DE; pt-BR; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_2","PAAaZM5sV-OBaCZTsFbOMOYF075BCaKbt1G0AIRbd28wzwSLrD3tZEcKlJ-9E","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
