"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","1487","0.0-0.0","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","","","","","",""
"survey-text","1","4570","0.0-1.0","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","3079","{""age"":""26""}","","","",""
"survey-multi-select","2","9570","0.0-2.0","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","4996","{""Gender"":[""Mulher""],""Education"":[""Pós-graduação""]}","[0,1]","","",""
"html-keyboard-response","3","10684","0.0-3.0","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","","","","","",""
"html-keyboard-response","4","11686","0.0-4.0-0.0","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","19705","0.0-4.0-1.0","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","PT_Shortterm_Watch.png","",""
"survey-likert","6","81813","0.0-4.0-2.0","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","62106","{""Q0"":4,""Q1"":2,""Q2"":2,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response","7","82832","0.0-4.0-0.1","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","90844","0.0-4.0-1.1","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","PT_Longterm_Headphones.png","",""
"survey-likert","9","110665","0.0-4.0-2.1","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","19819","{""Q0"":4,""Q1"":4,""Q2"":2,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response","10","111681","0.0-4.0-0.2","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","11","119686","0.0-4.0-1.2","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","Control_Headphones.png","",""
"survey-likert","12","137535","0.0-4.0-2.2","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","17847","{""Q0"":4,""Q1"":4,""Q2"":1,""Q3"":3}","[0,1,2,3]","","",""
"html-keyboard-response","13","138553","0.0-4.0-0.3","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","14","146563","0.0-4.0-1.3","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","Control_Toothbrush.png","",""
"survey-likert","15","160643","0.0-4.0-2.3","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","14078","{""Q0"":4,""Q1"":1,""Q2"":1,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response","16","161660","0.0-4.0-0.4","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","17","169668","0.0-4.0-1.4","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","PT_Longterm_Toothbrusch.png","",""
"survey-likert","18","184181","0.0-4.0-2.4","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","14511","{""Q0"":4,""Q1"":3,""Q2"":2,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response","19","185199","0.0-4.0-0.5","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","20","193205","0.0-4.0-1.5","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","PT_Longterm_Watch.png","",""
"survey-likert","21","205351","0.0-4.0-2.5","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","12144","{""Q0"":6,""Q1"":8,""Q2"":0,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response","22","206357","0.0-4.0-0.6","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","23","214363","0.0-4.0-1.6","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","Control_Watch.png","",""
"survey-likert","24","232253","0.0-4.0-2.6","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","17888","{""Q0"":4,""Q1"":4,""Q2"":0,""Q3"":3}","[0,1,2,3]","","",""
"html-keyboard-response","25","233259","0.0-4.0-0.7","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","26","241262","0.0-4.0-1.7","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","PT_Shortterm_Toothbrusch.png","",""
"survey-likert","27","264575","0.0-4.0-2.7","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","23310","{""Q0"":4,""Q1"":2,""Q2"":0,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response","28","265592","0.0-4.0-0.8","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","29","273607","0.0-4.0-1.8","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","null","null","","PT_Shortterm_Headphones.png","",""
"survey-likert","30","288833","0.0-4.0-2.8","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","15224","{""Q0"":5,""Q1"":5,""Q2"":0,""Q3"":6}","[0,1,2,3]","","",""
"html-keyboard-response","31","291034","0.0-5.0","83","1","2023-05-16 19:09:36","71cfef5bfd41dc7064b9a1fcb7b54361","187.28.199.242","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.42","WebKit","Edge","113.0.1774.42","Windows","10.0","NaN","","","","","",""
