"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","8645","0.0-0.0","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","","","","","",""
"survey-text","1","16072","0.0-1.0","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","7378","{""age"":""40""}","","","",""
"survey-multi-select","2","42982","0.0-2.0","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","26903","{""Gender"":[""Mulher""],""Education"":[""Pós-graduação""]}","[0,1]","","",""
"html-keyboard-response","3","50816","0.0-3.0","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","","","","","",""
"html-keyboard-response","4","51822","0.0-4.0-0.0","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","59888","0.0-4.0-1.0","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","null","null","","PT_Shortterm_Watch.png","",""
"survey-likert","6","90496","0.0-4.0-2.0","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","30594","{""Q0"":7,""Q1"":7,""Q2"":1,""Q3"":6}","[0,1,2,3]","","",""
"html-keyboard-response","7","91501","0.0-4.0-0.1","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","99575","0.0-4.0-1.1","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","null","null","","PT_Longterm_Toothbrusch.png","",""
"survey-likert","9","113363","0.0-4.0-2.1","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","13780","{""Q0"":4,""Q1"":3,""Q2"":3,""Q3"":3}","[0,1,2,3]","","",""
"html-keyboard-response","10","114366","0.0-4.0-0.2","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","11","122427","0.0-4.0-1.2","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","null","null","","Control_Watch.png","",""
"survey-likert","12","136852","0.0-4.0-2.2","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","14418","{""Q0"":7,""Q1"":7,""Q2"":1,""Q3"":7}","[0,1,2,3]","","",""
"html-keyboard-response","13","137854","0.0-4.0-0.3","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","14","145928","0.0-4.0-1.3","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","null","null","","PT_Longterm_Headphones.png","",""
"survey-likert","15","154821","0.0-4.0-2.3","90","1","2023-05-16 22:13:48","71cfef5bfd41dc7064b9a1fcb7b54361","189.40.81.176","Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1","iPhone","Safari","16.4","iOS","16_4_1","NaN","8882","{""Q0"":7,""Q1"":7,""Q2"":2,""Q3"":5}","[0,1,2,3]","","",""
