"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","2640","0.0-0.0","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","","","","","",""
"survey-text","1","9543","0.0-1.0","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","6871","{""age"":""46""}","","","",""
"survey-multi-select","2","18301","0.0-2.0","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","8751","{""Gender"":[""Mulher""],""Education"":[""Pós-graduação""]}","[0,1]","","",""
"html-keyboard-response","3","22560","0.0-3.0","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","","","","","",""
"html-keyboard-response","4","23566","0.0-4.0-0.0","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","31636","0.0-4.0-1.0","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","null","null","","PT_Longterm_Toothbrusch.png","",""
"survey-likert","6","52608","0.0-4.0-2.0","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","20965","{""Q0"":5,""Q1"":3,""Q2"":3,""Q3"":3}","[0,1,2,3]","","",""
"html-keyboard-response","7","53612","0.0-4.0-0.1","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","61675","0.0-4.0-1.1","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","null","null","","PT_Longterm_Headphones.png","",""
"survey-likert","9","76840","0.0-4.0-2.1","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","15160","{""Q0"":4,""Q1"":2,""Q2"":4,""Q3"":1}","[0,1,2,3]","","",""
"html-keyboard-response","10","77843","0.0-4.0-0.2","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","11","85892","0.0-4.0-1.2","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","null","null","","Control_Watch.png","",""
"survey-likert","12","91752","0.0-4.0-2.2","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","5854","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response","13","92756","0.0-4.0-0.3","109","1","2023-05-17 22:21:46","71cfef5bfd41dc7064b9a1fcb7b54361","177.142.150.196","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1","iPhone","Safari","16.3","iOS","16_3_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
