"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","fbclid","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","4631","0.0-0.0","6","1","2023-05-15 16:12:52","35a371bf4d1b89eb9efa423149907f28","37.65.15.241","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,1; iOS 16_1_2; fr_FR; fr-FR; scale=2.00; 828x1792; 472241688) NW/3","iPhone","Mozilla","","iOS","16_1_2","PAAabrzf4Cw8Ai1gKvZqIUuOwuiuvlFjhSTk-p2WuNdyTKtIuCUYHoZWBvvNo","NaN","","","","","",""
"survey-text","1","8642","0.0-1.0","6","1","2023-05-15 16:12:52","35a371bf4d1b89eb9efa423149907f28","37.65.15.241","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,1; iOS 16_1_2; fr_FR; fr-FR; scale=2.00; 828x1792; 472241688) NW/3","iPhone","Mozilla","","iOS","16_1_2","PAAabrzf4Cw8Ai1gKvZqIUuOwuiuvlFjhSTk-p2WuNdyTKtIuCUYHoZWBvvNo","NaN","3997","{""age"":""28""}","","","",""
"survey-multi-select","2","17049","0.0-2.0","6","1","2023-05-15 16:12:52","35a371bf4d1b89eb9efa423149907f28","37.65.15.241","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,1; iOS 16_1_2; fr_FR; fr-FR; scale=2.00; 828x1792; 472241688) NW/3","iPhone","Mozilla","","iOS","16_1_2","PAAabrzf4Cw8Ai1gKvZqIUuOwuiuvlFjhSTk-p2WuNdyTKtIuCUYHoZWBvvNo","NaN","8397","{""Gender"":[""Homen""],""Education"":[""Pós-graduação""]}","[0,1]","","",""
"html-keyboard-response","3","197319","0.0-3.0","6","1","2023-05-15 16:12:52","35a371bf4d1b89eb9efa423149907f28","37.65.15.241","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,1; iOS 16_1_2; fr_FR; fr-FR; scale=2.00; 828x1792; 472241688) NW/3","iPhone","Mozilla","","iOS","16_1_2","PAAabrzf4Cw8Ai1gKvZqIUuOwuiuvlFjhSTk-p2WuNdyTKtIuCUYHoZWBvvNo","NaN","","","","","",""
"html-keyboard-response","4","198357","0.0-4.0-0.0","6","1","2023-05-15 16:12:52","35a371bf4d1b89eb9efa423149907f28","37.65.15.241","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,1; iOS 16_1_2; fr_FR; fr-FR; scale=2.00; 828x1792; 472241688) NW/3","iPhone","Mozilla","","iOS","16_1_2","PAAabrzf4Cw8Ai1gKvZqIUuOwuiuvlFjhSTk-p2WuNdyTKtIuCUYHoZWBvvNo","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","208445","0.0-4.0-1.0","6","1","2023-05-15 16:12:52","35a371bf4d1b89eb9efa423149907f28","37.65.15.241","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,1; iOS 16_1_2; fr_FR; fr-FR; scale=2.00; 828x1792; 472241688) NW/3","iPhone","Mozilla","","iOS","16_1_2","PAAabrzf4Cw8Ai1gKvZqIUuOwuiuvlFjhSTk-p2WuNdyTKtIuCUYHoZWBvvNo","NaN","null","null","","Control_Headphones.png","",""
"survey-likert","6","238665","0.0-4.0-2.0","6","1","2023-05-15 16:12:52","35a371bf4d1b89eb9efa423149907f28","37.65.15.241","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,1; iOS 16_1_2; fr_FR; fr-FR; scale=2.00; 828x1792; 472241688) NW/3","iPhone","Mozilla","","iOS","16_1_2","PAAabrzf4Cw8Ai1gKvZqIUuOwuiuvlFjhSTk-p2WuNdyTKtIuCUYHoZWBvvNo","NaN","30187","{""Q0"":6,""Q1"":6,""Q2"":4,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response","7","239674","0.0-4.0-0.1","6","1","2023-05-15 16:12:52","35a371bf4d1b89eb9efa423149907f28","37.65.15.241","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,1; iOS 16_1_2; fr_FR; fr-FR; scale=2.00; 828x1792; 472241688) NW/3","iPhone","Mozilla","","iOS","16_1_2","PAAabrzf4Cw8Ai1gKvZqIUuOwuiuvlFjhSTk-p2WuNdyTKtIuCUYHoZWBvvNo","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","249749","0.0-4.0-1.1","6","1","2023-05-15 16:12:52","35a371bf4d1b89eb9efa423149907f28","37.65.15.241","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,1; iOS 16_1_2; fr_FR; fr-FR; scale=2.00; 828x1792; 472241688) NW/3","iPhone","Mozilla","","iOS","16_1_2","PAAabrzf4Cw8Ai1gKvZqIUuOwuiuvlFjhSTk-p2WuNdyTKtIuCUYHoZWBvvNo","NaN","null","null","","Control_Toothbrush.png","",""
"survey-likert","9","267042","0.0-4.0-2.1","6","1","2023-05-15 16:12:52","35a371bf4d1b89eb9efa423149907f28","37.65.15.241","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone12,1; iOS 16_1_2; fr_FR; fr-FR; scale=2.00; 828x1792; 472241688) NW/3","iPhone","Mozilla","","iOS","16_1_2","PAAabrzf4Cw8Ai1gKvZqIUuOwuiuvlFjhSTk-p2WuNdyTKtIuCUYHoZWBvvNo","NaN","17284","{""Q0"":4,""Q1"":3,""Q2"":5,""Q3"":3}","[0,1,2,3]","","",""
