"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","fbclid","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","3294","0.0-0.0","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","","","","","",""
"survey-text","1","8116","0.0-1.0","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","4803","{""age"":""22 ""}","","","",""
"survey-multi-select","2","35209","0.0-2.0","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","27080","{""Gender"":[""Mulher""],""Education"":[""Graduação universitária/ equivalente profissional""]}","[0,1]","","",""
"html-keyboard-response","3","41692","0.0-3.0","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","","","","","",""
"html-keyboard-response","4","42700","0.0-4.0-0.0","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","50781","0.0-4.0-1.0","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","null","null","","PT_Longterm_Toothbrusch.png","",""
"survey-likert","6","79817","0.0-4.0-2.0","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","29018","{""Q0"":3,""Q1"":0,""Q2"":0,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response","7","80826","0.0-4.0-0.1","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","88894","0.0-4.0-1.1","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","null","null","","Control_Watch.png","",""
"survey-likert","9","124225","0.0-4.0-2.1","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","35324","{""Q0"":4,""Q1"":5,""Q2"":4,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response","10","125228","0.0-4.0-0.2","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","11","133277","0.0-4.0-1.2","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","null","null","","PT_Shortterm_Headphones.png","",""
"survey-likert","12","146590","0.0-4.0-2.2","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","13300","{""Q0"":8,""Q1"":8,""Q2"":0,""Q3"":8}","[0,1,2,3]","","",""
"html-keyboard-response","13","147596","0.0-4.0-0.3","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","14","155678","0.0-4.0-1.3","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","null","null","","PT_Shortterm_Toothbrusch.png","",""
"survey-likert","15","169314","0.0-4.0-2.3","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","13625","{""Q0"":4,""Q1"":4,""Q2"":0,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response","16","170321","0.0-4.0-0.4","56","1","2023-05-16 15:24:50","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.29.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone11,8; iOS 16_1_1; en_BR; en-AU; scale=2.00; 828x1792; 472241688)","iPhone","Mozilla","","iOS","16_1_1","PAAaajj5_bikxBZ3kf8PWsHpuHUmTjgAcXWGNwJRysvjHL5ngeIV11rfhO2dc","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
