"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","8018","0.0-0.0","41","1","2023-05-16 08:08:22","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.86.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","iPhone","Safari","16.0","iOS","16_0_2","NaN","","","","","",""
"survey-text","1","17733","0.0-1.0","41","1","2023-05-16 08:08:22","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.86.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","iPhone","Safari","16.0","iOS","16_0_2","NaN","9652","{""age"":""48""}","","","",""
"survey-multi-select","2","34534","0.0-2.0","41","1","2023-05-16 08:08:22","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.86.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","iPhone","Safari","16.0","iOS","16_0_2","NaN","16782","{""Gender"":[""Homen""],""Education"":[""Graduação universitária/ equivalente profissional""]}","[0,1]","","",""
"html-keyboard-response","3","47497","0.0-3.0","41","1","2023-05-16 08:08:22","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.86.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","iPhone","Safari","16.0","iOS","16_0_2","NaN","","","","","",""
"html-keyboard-response","4","48506","0.0-4.0-0.0","41","1","2023-05-16 08:08:22","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.86.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","iPhone","Safari","16.0","iOS","16_0_2","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","56604","0.0-4.0-1.0","41","1","2023-05-16 08:08:22","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.86.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","iPhone","Safari","16.0","iOS","16_0_2","NaN","null","null","","Control_Watch.png","",""
"survey-likert","6","147242","0.0-4.0-2.0","41","1","2023-05-16 08:08:22","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.86.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","iPhone","Safari","16.0","iOS","16_0_2","NaN","90624","{""Q0"":6,""Q1"":6,""Q2"":0,""Q3"":6}","[0,1,2,3]","","",""
"html-keyboard-response","7","148248","0.0-4.0-0.1","41","1","2023-05-16 08:08:22","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.86.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","iPhone","Safari","16.0","iOS","16_0_2","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","156321","0.0-4.0-1.1","41","1","2023-05-16 08:08:22","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.86.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","iPhone","Safari","16.0","iOS","16_0_2","NaN","null","null","","PT_Longterm_Toothbrusch.png","",""
"survey-likert","9","184017","0.0-4.0-2.1","41","1","2023-05-16 08:08:22","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.86.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","iPhone","Safari","16.0","iOS","16_0_2","NaN","27686","{""Q0"":6,""Q1"":6,""Q2"":0,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response","10","185024","0.0-4.0-0.2","41","1","2023-05-16 08:08:22","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.86.168","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1","iPhone","Safari","16.0","iOS","16_0_2","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
