"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","5828","0.0-0.0","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","","","","","",""
"survey-text","1","9930","0.0-1.0","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","4062","{""age"":""28""}","","","",""
"survey-multi-select","2","20216","0.0-2.0","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","10280","{""Gender"":[""Mulher""],""Education"":[""Pós-graduação""]}","[0,1]","","",""
"html-keyboard-response","3","26075","0.0-3.0","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","","","","","",""
"html-keyboard-response","4","27080","0.0-4.0-0.0","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","35089","0.0-4.0-1.0","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","null","null","","PT_Longterm_Headphones.png","",""
"survey-likert","6","53124","0.0-4.0-2.0","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","18026","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response","7","54128","0.0-4.0-0.1","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","62178","0.0-4.0-1.1","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","null","null","","PT_Longterm_Watch.png","",""
"survey-likert","9","75174","0.0-4.0-2.1","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","12991","{""Q0"":5,""Q1"":2,""Q2"":2,""Q3"":1}","[0,1,2,3]","","",""
"html-keyboard-response","10","76176","0.0-4.0-0.2","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","11","84243","0.0-4.0-1.2","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","null","null","","Control_Headphones.png","",""
"survey-likert","12","94685","0.0-4.0-2.2","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","10436","{""Q0"":6,""Q1"":6,""Q2"":1,""Q3"":6}","[0,1,2,3]","","",""
"html-keyboard-response","13","95689","0.0-4.0-0.3","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","14","103740","0.0-4.0-1.3","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","null","null","","Control_Watch.png","",""
"survey-likert","15","111042","0.0-4.0-2.3","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","7296","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response","16","112045","0.0-4.0-0.4","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","17","120110","0.0-4.0-1.4","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","null","null","","PT_Longterm_Toothbrusch.png","",""
"survey-likert","18","131918","0.0-4.0-2.4","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","11802","{""Q0"":2,""Q1"":0,""Q2"":3,""Q3"":0}","[0,1,2,3]","","",""
"html-keyboard-response","19","132921","0.0-4.0-0.5","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","20","140915","0.0-4.0-1.5","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","null","null","","PT_Shortterm_Watch.png","",""
"survey-likert","21","148826","0.0-4.0-2.5","112","1","2023-05-18 00:13:07","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.85.31","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","iPhone","Safari","16.1","iOS","16_1_1","NaN","7905","{""Q0"":2,""Q1"":0,""Q2"":0,""Q3"":1}","[0,1,2,3]","","",""
