"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","fbclid","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","76130","0.0-0.0","9","1","2023-05-15 16:23:14","35a371bf4d1b89eb9efa423149907f28","95.136.16.194","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,5; iOS 16_0_3; es_PT; es-PT; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_3","PAAaYF1t_FzFY30A-61T67BZfMqBGD1nGU4teo_8IgQrLlr-ZQ7nI6RT0e0Fk","NaN","","","","","",""
"survey-text","1","79380","0.0-1.0","9","1","2023-05-15 16:23:14","35a371bf4d1b89eb9efa423149907f28","95.136.16.194","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,5; iOS 16_0_3; es_PT; es-PT; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_3","PAAaYF1t_FzFY30A-61T67BZfMqBGD1nGU4teo_8IgQrLlr-ZQ7nI6RT0e0Fk","NaN","3239","{""age"":""25""}","","","",""
"survey-multi-select","2","84366","0.0-2.0","9","1","2023-05-15 16:23:14","35a371bf4d1b89eb9efa423149907f28","95.136.16.194","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,5; iOS 16_0_3; es_PT; es-PT; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_3","PAAaYF1t_FzFY30A-61T67BZfMqBGD1nGU4teo_8IgQrLlr-ZQ7nI6RT0e0Fk","NaN","4979","{""Gender"":[""Mulher""],""Education"":[""Educação secundária (idade: 11-17)""]}","[0,1]","","",""
"html-keyboard-response","3","85749","0.0-3.0","9","1","2023-05-15 16:23:14","35a371bf4d1b89eb9efa423149907f28","95.136.16.194","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,5; iOS 16_0_3; es_PT; es-PT; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_3","PAAaYF1t_FzFY30A-61T67BZfMqBGD1nGU4teo_8IgQrLlr-ZQ7nI6RT0e0Fk","NaN","","","","","",""
"html-keyboard-response","4","86755","0.0-4.0-0.0","9","1","2023-05-15 16:23:14","35a371bf4d1b89eb9efa423149907f28","95.136.16.194","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,5; iOS 16_0_3; es_PT; es-PT; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_3","PAAaYF1t_FzFY30A-61T67BZfMqBGD1nGU4teo_8IgQrLlr-ZQ7nI6RT0e0Fk","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","96809","0.0-4.0-1.0","9","1","2023-05-15 16:23:14","35a371bf4d1b89eb9efa423149907f28","95.136.16.194","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,5; iOS 16_0_3; es_PT; es-PT; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_3","PAAaYF1t_FzFY30A-61T67BZfMqBGD1nGU4teo_8IgQrLlr-ZQ7nI6RT0e0Fk","NaN","null","null","","PT_Longterm_Watch.png","",""
"survey-likert","6","129601","0.0-4.0-2.0","9","1","2023-05-15 16:23:14","35a371bf4d1b89eb9efa423149907f28","95.136.16.194","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,5; iOS 16_0_3; es_PT; es-PT; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_3","PAAaYF1t_FzFY30A-61T67BZfMqBGD1nGU4teo_8IgQrLlr-ZQ7nI6RT0e0Fk","NaN","32783","{""Q0"":8,""Q1"":8,""Q2"":0,""Q3"":8}","[0,1,2,3]","","",""
"html-keyboard-response","7","130607","0.0-4.0-0.1","9","1","2023-05-15 16:23:14","35a371bf4d1b89eb9efa423149907f28","95.136.16.194","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,5; iOS 16_0_3; es_PT; es-PT; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_3","PAAaYF1t_FzFY30A-61T67BZfMqBGD1nGU4teo_8IgQrLlr-ZQ7nI6RT0e0Fk","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","140675","0.0-4.0-1.1","9","1","2023-05-15 16:23:14","35a371bf4d1b89eb9efa423149907f28","95.136.16.194","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,5; iOS 16_0_3; es_PT; es-PT; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_3","PAAaYF1t_FzFY30A-61T67BZfMqBGD1nGU4teo_8IgQrLlr-ZQ7nI6RT0e0Fk","NaN","null","null","","PT_Longterm_Headphones.png","",""
"survey-likert","9","152901","0.0-4.0-2.1","9","1","2023-05-15 16:23:14","35a371bf4d1b89eb9efa423149907f28","95.136.16.194","Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 282.0.0.17.114 (iPhone14,5; iOS 16_0_3; es_PT; es-PT; scale=3.00; 1170x2532; 472241688) NW/3","iPhone","Mozilla","","iOS","16_0_3","PAAaYF1t_FzFY30A-61T67BZfMqBGD1nGU4teo_8IgQrLlr-ZQ7nI6RT0e0Fk","NaN","12220","{""Q0"":8,""Q1"":8,""Q2"":0,""Q3"":0}","[0,1,2,3]","","",""
