"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","1158","0.0-0.0","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","","","","","",""
"survey-text","1","4653","0.0-1.0","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","3477","{""age"":""18""}","","","",""
"survey-multi-select","2","11477","0.0-2.0","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","6808","{""Gender"":[""Homen""],""Education"":[""Graduação universitária/ equivalente profissional""]}","[0,1]","","",""
"html-keyboard-response","3","18835","0.0-3.0","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","","","","","",""
"html-keyboard-response","4","19856","0.0-4.0-0.0","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","27941","0.0-4.0-1.0","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","null","null","","PT_Longterm_Toothbrusch.png","",""
"survey-likert","6","50855","0.0-4.0-2.0","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","22897","{""Q0"":5,""Q1"":1,""Q2"":2,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response","7","51879","0.0-4.0-0.1","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","59892","0.0-4.0-1.1","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","null","null","","Control_Toothbrush.png","",""
"survey-likert","9","69222","0.0-4.0-2.1","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","9302","{""Q0"":1,""Q1"":1,""Q2"":3,""Q3"":3}","[0,1,2,3]","","",""
"html-keyboard-response","10","70245","0.0-4.0-0.2","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","11","78277","0.0-4.0-1.2","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","null","null","","PT_Longterm_Headphones.png","",""
"survey-likert","12","106709","0.0-4.0-2.2","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","28396","{""Q0"":7,""Q1"":6,""Q2"":3,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response","13","107731","0.0-4.0-0.3","99","1","2023-05-17 00:12:35","71cfef5bfd41dc7064b9a1fcb7b54361","201.17.125.130","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36","WebKit","Chrome","113.0.0.0","AndroidOS","10","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
