"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","1965","0.0-0.0","120","1","2023-05-18 12:03:57","71cfef5bfd41dc7064b9a1fcb7b54361","138.246.3.235","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/113.0.5672.69 Mobile/15E148 Safari/604.1","iPhone","Chrome","113.0.5672.69","iOS","16_1","NaN","","","","","",""
"survey-text","1","4946","0.0-1.0","120","1","2023-05-18 12:03:57","71cfef5bfd41dc7064b9a1fcb7b54361","138.246.3.235","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/113.0.5672.69 Mobile/15E148 Safari/604.1","iPhone","Chrome","113.0.5672.69","iOS","16_1","NaN","2967","{""age"":""23""}","","","",""
"survey-multi-select","2","17376","0.0-2.0","120","1","2023-05-18 12:03:57","71cfef5bfd41dc7064b9a1fcb7b54361","138.246.3.235","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/113.0.5672.69 Mobile/15E148 Safari/604.1","iPhone","Chrome","113.0.5672.69","iOS","16_1","NaN","12425","{""Gender"":[""Homen""],""Education"":[""Graduação universitária/ equivalente profissional""]}","[0,1]","","",""
"html-keyboard-response","3","22125","0.0-3.0","120","1","2023-05-18 12:03:57","71cfef5bfd41dc7064b9a1fcb7b54361","138.246.3.235","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/113.0.5672.69 Mobile/15E148 Safari/604.1","iPhone","Chrome","113.0.5672.69","iOS","16_1","NaN","","","","","",""
"html-keyboard-response","4","23131","0.0-4.0-0.0","120","1","2023-05-18 12:03:57","71cfef5bfd41dc7064b9a1fcb7b54361","138.246.3.235","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/113.0.5672.69 Mobile/15E148 Safari/604.1","iPhone","Chrome","113.0.5672.69","iOS","16_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","31197","0.0-4.0-1.0","120","1","2023-05-18 12:03:57","71cfef5bfd41dc7064b9a1fcb7b54361","138.246.3.235","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/113.0.5672.69 Mobile/15E148 Safari/604.1","iPhone","Chrome","113.0.5672.69","iOS","16_1","NaN","null","null","","PT_Shortterm_Toothbrusch.png","",""
"survey-likert","6","53373","0.0-4.0-2.0","120","1","2023-05-18 12:03:57","71cfef5bfd41dc7064b9a1fcb7b54361","138.246.3.235","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/113.0.5672.69 Mobile/15E148 Safari/604.1","iPhone","Chrome","113.0.5672.69","iOS","16_1","NaN","22168","{""Q0"":4,""Q1"":3,""Q2"":6,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response","7","54379","0.0-4.0-0.1","120","1","2023-05-18 12:03:57","71cfef5bfd41dc7064b9a1fcb7b54361","138.246.3.235","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/113.0.5672.69 Mobile/15E148 Safari/604.1","iPhone","Chrome","113.0.5672.69","iOS","16_1","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","62443","0.0-4.0-1.1","120","1","2023-05-18 12:03:57","71cfef5bfd41dc7064b9a1fcb7b54361","138.246.3.235","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/113.0.5672.69 Mobile/15E148 Safari/604.1","iPhone","Chrome","113.0.5672.69","iOS","16_1","NaN","null","null","","Control_Toothbrush.png","",""
"survey-likert","9","75568","0.0-4.0-2.1","120","1","2023-05-18 12:03:57","71cfef5bfd41dc7064b9a1fcb7b54361","138.246.3.235","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/113.0.5672.69 Mobile/15E148 Safari/604.1","iPhone","Chrome","113.0.5672.69","iOS","16_1","NaN","13118","{""Q0"":5,""Q1"":5,""Q2"":4,""Q3"":4}","[0,1,2,3]","","",""
