"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","fbclid","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","6270","0.0-0.0","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","","","","","",""
"survey-text","1","12718","0.0-1.0","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","6418","{""age"":""28""}","","","",""
"survey-multi-select","2","22469","0.0-2.0","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","9731","{""Gender"":[""Homen""],""Education"":[""Graduação universitária/ equivalente profissional""]}","[0,1]","","",""
"html-keyboard-response","3","29847","0.0-3.0","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","","","","","",""
"html-keyboard-response","4","30862","0.0-4.0-0.0","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","38956","0.0-4.0-1.0","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","Control_Watch.png","",""
"survey-likert","6","66853","0.0-4.0-2.0","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","27862","{""Q0"":2,""Q1"":1,""Q2"":1,""Q3"":4}","[0,1,2,3]","","",""
"html-keyboard-response","7","67863","0.0-4.0-0.1","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","75875","0.0-4.0-1.1","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","Control_Headphones.png","",""
"survey-likert","9","96226","0.0-4.0-2.1","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","20330","{""Q0"":8,""Q1"":8,""Q2"":1,""Q3"":6}","[0,1,2,3]","","",""
"html-keyboard-response","10","97233","0.0-4.0-0.2","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","11","105295","0.0-4.0-1.2","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","PT_Shortterm_Watch.png","",""
"survey-likert","12","124139","0.0-4.0-2.2","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","18781","{""Q0"":4,""Q1"":1,""Q2"":4,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response","13","125147","0.0-4.0-0.3","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","14","133183","0.0-4.0-1.3","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","PT_Longterm_Toothbrusch.png","",""
"survey-likert","15","144263","0.0-4.0-2.3","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","11060","{""Q0"":4,""Q1"":1,""Q2"":2,""Q3"":2}","[0,1,2,3]","","",""
"html-keyboard-response","16","145270","0.0-4.0-0.4","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","17","153287","0.0-4.0-1.4","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","PT_Longterm_Headphones.png","",""
"survey-likert","18","164767","0.0-4.0-2.4","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","11459","{""Q0"":7,""Q1"":7,""Q2"":2,""Q3"":7}","[0,1,2,3]","","",""
"html-keyboard-response","19","165774","0.0-4.0-0.5","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","20","173784","0.0-4.0-1.5","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","PT_Longterm_Watch.png","",""
"survey-likert","21","185896","0.0-4.0-2.5","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","12085","{""Q0"":6,""Q1"":6,""Q2"":2,""Q3"":6}","[0,1,2,3]","","",""
"html-keyboard-response","22","186903","0.0-4.0-0.6","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","23","194917","0.0-4.0-1.6","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","PT_Shortterm_Toothbrusch.png","",""
"survey-likert","24","209104","0.0-4.0-2.6","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","14165","{""Q0"":4,""Q1"":1,""Q2"":7,""Q3"":1}","[0,1,2,3]","","",""
"html-keyboard-response","25","210111","0.0-4.0-0.7","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","26","218131","0.0-4.0-1.7","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","Control_Toothbrush.png","",""
"survey-likert","27","231811","0.0-4.0-2.7","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","13657","{""Q0"":2,""Q1"":0,""Q2"":4,""Q3"":1}","[0,1,2,3]","","",""
"html-keyboard-response","28","232817","0.0-4.0-0.8","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","29","240837","0.0-4.0-1.8","18","1","2023-05-15 17:38:32","71cfef5bfd41dc7064b9a1fcb7b54361","200.152.98.202","Mozilla/5.0 (Linux; Android 12; 21091116AG Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.129 Mobile Safari/537.36 Instagram 282.0.0.22.119 Android (31/12; 440dpi; 1080x2174; Xiaomi/POCO; 21091116AG; evergreen; mt6833; pt_BR; 472968201)","Xiaomi","Chrome","103.0.5060.129","AndroidOS","12","PAAaZ3hy65_LpSmHD8GHQ16OOssgWM-F9cNQwCrG13jf75k994elvabMLF8y4","NaN","null","null","","PT_Shortterm_Headphones.png","",""
