"trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","age","rt","response","question_order","stimulus","task","trial_duration"
"html-keyboard-response","0","10459","0.0-0.0","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","","","","","",""
"survey-text","1","15659","0.0-1.0","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","5188","{""age"":""32""}","","","",""
"survey-multi-select","2","31886","0.0-2.0","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","16218","{""Gender"":[""Homen""],""Education"":[""Pós-graduação""]}","[0,1]","","",""
"html-keyboard-response","3","44203","0.0-3.0","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","","","","","",""
"html-keyboard-response","4","45207","0.0-4.0-0.0","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","5","53236","0.0-4.0-1.0","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","null","null","","Control_Watch.png","",""
"survey-likert","6","109262","0.0-4.0-2.0","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","56004","{""Q0"":8,""Q1"":7,""Q2"":0,""Q3"":7}","[0,1,2,3]","","",""
"html-keyboard-response","7","110270","0.0-4.0-0.1","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","8","118279","0.0-4.0-1.1","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","null","null","","Control_Toothbrush.png","",""
"survey-likert","9","174527","0.0-4.0-2.1","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","56228","{""Q0"":5,""Q1"":5,""Q2"":4,""Q3"":5}","[0,1,2,3]","","",""
"html-keyboard-response","10","175537","0.0-4.0-0.2","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","11","183554","0.0-4.0-1.2","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","null","null","","PT_Shortterm_Watch.png","",""
"survey-likert","12","218284","0.0-4.0-2.2","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","34711","{""Q0"":8,""Q1"":8,""Q2"":0,""Q3"":8}","[0,1,2,3]","","",""
"html-keyboard-response","13","219292","0.0-4.0-0.3","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","null","null","","<div style=""font-size:60px;"">+</div>","fixation","[1000]"
"image-keyboard-response","14","227304","0.0-4.0-1.3","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","null","null","","PT_Longterm_Watch.png","",""
"survey-likert","15","242494","0.0-4.0-2.3","119","1","2023-05-18 01:31:13","71cfef5bfd41dc7064b9a1fcb7b54361","177.27.10.50","Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-S901E) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36","Samsung","Chrome","106.0.5249.126","AndroidOS","13","NaN","15170","{""Q0"":8,""Q1"":8,""Q2"":0,""Q3"":8}","[0,1,2,3]","","",""
